Lot #,Specimen Number,Sex,SL,LL,TV,CPD,Miller's Data,State,County,Drainage,Group
UMMZ 163284,10,m,55,71,18,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,9,f,55,73,18,27,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,13,f,53,69,19,23,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,14,f,59,70,19,25,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,9,f,62,66,19,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,5,m,58,68,19,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,16,f,38,68,19,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,3,f,65.5,70,19,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,6,f,63.5,70,19,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,4,f,64,71,19,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,23,m,37,71,19,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,7,f,56.5,74,19,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,14,m,50,74,19,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,19,f,35,74,19,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,8,f,61,81,19,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,15,f,49.5,68,19,27,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,18,m,35.5,73,19,27,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,8,m,54,75,19,27,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,3,f,73,69,20,25,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,15,f,59.5,64,20,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,5,f,63,68,20,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,7,m,76.5,68,20,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,16,f,40.5,68,20,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,1,m,87,70,20,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,2,f,64,70,20,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,12,m,50,71,20,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,11,m,56,74,20,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,10,m,69,66,20,27,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,21,f,40,67,20,27,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,22,f,39.5,69,20,27,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,2,f,65,71,20,27,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,6,m,56.5,71,20,27,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,19,m,40,72,20,27,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,17,m,38,72,20,27,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,4,f,58.5,73,20,27,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,18,m,42,74,20,27,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,11,m,72,74,21,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,13,f,63.5,70,21,27,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,12,f,67.5,71,21,27,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,17,f,47,72,21,28,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 163284,1,f,79.5,74,21,28,y,TN,Blount,Abrams Cr,Lwr Little Tenn
UMMZ 129472,20,m,40.5,68,22,26,y,TN,Blount,Abrams Cr,Lwr Little Tenn